iter	Logloss
0	0.607785183
1	0.5458200023
2	0.5024509304
3	0.4715887292
4	0.4496180575
5	0.4329535697
6	0.4201522851
7	0.412182158
8	0.4060231401
9	0.4007624828
10	0.3971029795
11	0.3943499757
12	0.3922451125
13	0.3905838851
14	0.389113593
15	0.38806265
16	0.3871117558
17	0.386270617
18	0.3856628373
19	0.3848637817
20	0.3842865496
21	0.3838160338
22	0.3834295263
23	0.383030948
24	0.3827111259
25	0.3823729963
26	0.3821430076
27	0.3818719151
28	0.3814315497
29	0.3811789513
30	0.3807973281
31	0.3805585463
32	0.380350021
33	0.3800592115
34	0.3798542328
35	0.3795473972
36	0.379388865
37	0.379193272
38	0.3790265662
39	0.3787441403
40	0.37859342
41	0.3781915918
42	0.3779754844
43	0.3778291113
44	0.3776720629
45	0.3774817412
46	0.3772286217
47	0.3769877451
48	0.3768459292
49	0.3767167693
50	0.3766001834
51	0.3764618712
52	0.3763059726
53	0.3761253403
54	0.375990945
55	0.3757293186
56	0.375559884
57	0.3753667635
58	0.3752439315
59	0.3750556839
60	0.374829455
61	0.3747212641
62	0.3745868038
63	0.3744591506
64	0.3743874343
65	0.3742835816
66	0.3741392045
67	0.3740790527
68	0.37391082
69	0.3738052217
70	0.3736740669
71	0.3735428537
72	0.3734476855
73	0.3733257386
74	0.3732302161
75	0.3730731568
76	0.3729522293
77	0.3728825878
78	0.3727890018
79	0.3725834575
80	0.3724506909
81	0.3724004943
82	0.372307289
83	0.3722126845
84	0.3720643418
85	0.3719981788
86	0.3718918952
87	0.3717677675
88	0.3716214221
89	0.3714674539
90	0.3713910823
91	0.3713134985
92	0.3711988265
93	0.3711175078
94	0.3710300098
95	0.3709475542
96	0.3708846943
97	0.3707961786
98	0.3707354463
99	0.3706407877
100	0.3704054264
101	0.370335907
102	0.3702665677
103	0.370083711
104	0.3699903704
105	0.3698937521
106	0.369780668
107	0.369611788
108	0.3694583584
109	0.3693043783
110	0.3692232468
111	0.3691256829
112	0.3690643979
113	0.3689693947
114	0.3688702126
115	0.3688191661
116	0.368734468
117	0.3686287053
118	0.3685018231
119	0.3684259312
120	0.3683482594
121	0.3682620107
122	0.3681797583
123	0.3681002101
124	0.3680434276
125	0.367981321
126	0.367907913
127	0.3677820903
128	0.3677339525
129	0.3676364545
130	0.3675724071
131	0.3674554413
132	0.3673242334
133	0.3672509141
134	0.3671604944
135	0.3670948163
136	0.3670241398
